# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-1.862081812605024256e+00 -2.547531003527931937e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.860081812661588119e+00 -2.727531009894685887e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.858081812718151982e+00 -2.655531007347984307e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.856081812774715845e+00 -2.835531013714738258e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.854081812831279708e+00 -3.267531028994947739e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.852081812887843570e+00 -3.591531040455104851e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.850081812944407433e+00 -3.915531051915261962e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.848081813000971296e+00 -4.095531058282015913e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.846081813057535159e+00 -4.023531055735314332e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.844081813114099022e+00 -4.095531058282015913e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.842081813170662885e+00 -4.167531060828717493e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.840081813227226748e+00 -4.059531057008665123e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.838081813283790611e+00 -3.735531045548508011e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.836081813340354474e+00 -3.627531041728455641e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.834081813396918337e+00 -3.087531022628193789e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.832081813453482200e+00 -2.727531009894685887e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.830081813510046063e+00 -2.079530986974371665e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.828081813566609926e+00 -1.683530972967512973e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.826081813623173788e+00 -1.251530957687303491e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.824081813679737651e+00 -6.755309373136907380e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.822081813736301514e+00 -6.755309373136907380e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.820081813792865377e+00 -4.235309284002352626e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.818081813849429240e+00 -3.875309271268844724e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.816081813905993103e+00 -2.795309233068321020e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.814081813962556966e+00 8.046908942667581333e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.812081814019120829e+00 -6.353091566672734725e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.810081814075684692e+00 1.884690932467281699e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.808081814132248555e+00 1.524690919733773797e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.806081814188812418e+00 4.404691021601837009e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.804081814245376281e+00 4.764691034335344910e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.802081814301940144e+00 7.644691136203408677e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.800081814358504007e+00 9.084691187137440282e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.798081814415067869e+00 1.160469127627199448e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.796081814471631732e+00 1.088469125080497868e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.794081814528195595e+00 1.520469140360707350e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.792081814584759458e+00 1.628469144180759720e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.790081814641323321e+00 1.700469146727461300e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.788081814697887184e+00 1.952469155640916831e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.786081814754451047e+00 1.844469151820864461e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.784081814811014910e+00 2.132469162007670782e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.782081814867578773e+00 2.384469170921126313e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.780081814924142636e+00 2.276469167101073943e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.778081814980706499e+00 2.528469176014529474e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.776081815037270362e+00 2.708469182381283424e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.774081815093834225e+00 2.672469181107932634e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.772081815150398088e+00 2.384469170921126313e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.770081815206961950e+00 2.348469169647775523e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.768081815263525813e+00 2.096469160734319992e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.766081815320089676e+00 1.808469150547513671e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.764081815376653539e+00 1.340469133993953399e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.762081815433217402e+00 8.004691148936916578e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.760081815489781265e+00 3.684690996134821206e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.758081815546345128e+00 -9.953091694007813739e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
